0.509,0.539,0.517,0.507,0.491,0.514,0.497,0.499,0.556,0.492,0
0.434,0.448,0.469,0.481,0.442,0.478,0.545,0.539,0.441,0.484,1
0.516,0.537,0.561,0.475,0.518,0.490,0.507,0.510,0.468,0.527,1
0.596,0.487,0.478,0.465,0.532,0.228,0.370,0.551,0.479,0.471,1
0.480,0.501,0.454,0.509,0.497,0.459,0.461,0.465,0.480,0.486,0
0.498,0.504,0.494,0.462,0.488,0.476,0.483,0.479,0.496,0.495,0
0.490,0.501,0.539,0.502,0.540,0.507,0.501,0.485,0.504,0.514,1
0.357,0.477,0.473,0.517,0.482,0.471,0.467,0.488,0.489,0.495,0
0.495,0.523,0.534,0.477,0.552,0.481,0.512,0.483,0.507,0.504,1
0.491,0.478,0.473,0.454,0.489,0.453,0.480,0.496,0.429,0.551,1
0.522,0.488,0.492,0.487,0.523,0.496,0.552,0.506,0.512,0.502,0
0.533,0.495,0.519,0.5,0.481,0.521,0.535,0.563,0.485,0.488,0
0.508,0.505,0.621,0.531,0.559,0.521,0.519,0.495,0.477,0.512,1
0.458,0.512,0.470,0.488,0.508,0.503,0.526,0.509,0.501,0.35,0
0.506,0.526,0.490,0.543,0.511,0.505,0.518,0.522,0.507,0.501,1
0.466,0.372,0.460,0.451,0.550,0.531,0.438,0.483,0.554,0.492,0
0.463,0.504,0.543,0.509,0.487,0.499,0.519,0.491,0.517,0.497,1
0.415,0.490,0.461,0.487,0.490,0.519,0.488,0.482,0.482,0.490,1
0.517,0.480,0.493,0.510,0.514,0.507,0.494,0.510,0.505,0.499,0
0.502,0.523,0.586,0.566,0.500,0.505,0.520,0.572,0.482,0.5,0
0.460,0.458,0.475,0.465,0.492,0.425,0.494,0.443,0.490,0.462,0
0.482,0.490,0.495,0.487,0.504,0.476,0.487,0.530,0.501,0.497,0
0.511,0.476,0.428,0.296,0.508,0.418,0.529,0.483,0.520,0.418,0
0.497,0.530,0.498,0.472,0.506,0.504,0.539,0.538,0.550,0.511,1
0.537,0.585,0.460,0.468,0.492,0.504,0.517,0.474,0.481,0.479,1
0.512,0.495,0.558,0.547,0.514,0.517,0.752,0.498,0.493,0.514,1
0.487,0.475,0.546,0.463,0.528,0.442,0.493,0.462,0.471,0.489,0
