0.513,0.558,0.530,0.490,0.410,0.497,0.457,0.547,0.503,0.522,1
0.489,0.497,0.509,0.506,0.592,0.631,0.615,0.493,0.575,0.417,1
0.594,0.510,0.503,0.541,0.455,0.576,0.613,0.481,0.546,0.506,1
0.447,0.529,0.489,0.508,0.497,0.354,0.608,0.487,0.471,0.477,0
0.48,0.48,0.529,0.534,0.525,0.488,0.357,0.433,0.514,0.481,1
0.428,0.497,0.304,0.4,0.495,0.5,0.470,0.437,0.4,0.532,0
0.518,0.51,0.375,0.352,0.285,0.458,0.392,0.5,0.477,0.507,0
0.285,0.480,0.486,0.529,0.458,0.741,0.512,0.372,0.460,0.511,1
0.5,0.545,0.470,0.552,0.483,0.3,0.333,0.514,0.475,0.4,0
0.529,0.545,0.484,0.519,0.503,0.488,0.696,0.518,0.524,0.507,0
0.4,0.222,0.222,0.294,0.181,0.404,0.136,0.442,0.533,0.324,0
0.462,0.181,0.488,0.481,0.496,0.485,0.266,0.465,0.425,0.666,0
0.503,0.515,0.507,0.482,0.516,0.5,0.522,0.493,0.540,0.503,0
0.519,0.517,0.544,0.5,0.5,0.572,0.475,0.586,0.541,0.555,0
0.507,0.363,0.441,0.539,0.487,0.508,0.597,0.620,0.520,0.576,0
0.522,0.485,0.511,0.525,0.562,0.501,0.476,0.584,0.501,0.501,0
0.576,0.525,0.508,0.532,0.923,0.519,0.556,0.558,0.505,0.68,1
0.3,0.465,0.44,0.558,0.567,0.530,0.923,0.465,0.488,0.487,0
0.344,0.497,0.512,0.434,0.450,0.411,0.414,0.502,0.502,0.375,0
0.545,0.495,0.515,0.333,0.508,0.504,0.5,0.8,0.439,0.409,1
0.488,0.489,0.666,0.5,0.562,0.371,0.666,0.533,0.463,0.528,1
0.575,0.525,0.465,0.553,0.515,0.462,0.532,0.548,0.509,0.549,0
0.540,0.539,0.513,0.503,0.645,0.370,0.502,0.522,0.514,0.538,0
0.579,0.5,0.5,0.539,0.491,0.487,0.480,0.455,0.555,0.516,0
0.511,0.511,0.531,0.785,0.481,0.527,0.727,0.642,0.406,0.535,0
